Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS▼,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
112,Ryan Yarbrough*,29,TBR,AL,9,7,0.563,5.11,30,21,0,1,0,0,155,163,96,88,25,27,2,117,9,1,1,653,78,4.45,1.226,9.5,1.5,1.6,6.8,4.33
113,Kris Bubic*,23,KCR,AL,6,7,0.462,4.43,29,20,3,0,0,0,130,121,67,64,22,59,0,114,7,1,0,556,103,5.14,1.385,8.4,1.5,4.1,7.9,1.93
114,Eric Lauer*,26,MIL,NL,7,5,0.583,3.19,24,20,0,0,0,0,118.2,94,46,42,16,41,1,117,2,0,2,489,132,4.04,1.138,7.1,1.2,3.1,8.9,2.85
115,Pablo Lopez,25,MIA,NL,5,5,0.5,3.07,20,20,0,0,0,0,102.2,89,37,35,11,26,1,115,7,0,3,418,136,3.29,1.12,7.8,1,2.3,10.1,4.42
116,Alek Manoah,23,TOR,AL,9,2,0.818,3.22,20,20,0,0,0,0,111.2,77,44,40,12,40,0,127,16,1,0,459,139,3.8,1.048,6.2,1,3.2,10.2,3.18
117,Alec Mills,29,CHC,NL,6,7,0.462,5.07,32,20,4,0,0,1,119,137,75,67,16,34,2,87,7,0,4,517,84,4.49,1.437,10.4,1.2,2.6,6.6,2.56
118,Bailey Ober,25,MIN,AL,3,3,0.5,4.19,20,20,0,0,0,0,92.1,92,45,43,20,19,0,96,1,0,1,379,102,4.56,1.202,9,1.9,1.9,9.4,5.05
119,Jose Urquidy,26,HOU,AL,8,3,0.727,3.62,20,20,0,0,0,0,107,87,43,43,17,19,0,90,2,0,2,423,119,4.14,0.991,7.3,1.4,1.6,7.6,4.74
120,LgAvg per 180 IP,,,,10,10,0.498,4.3,95,20,22,0,0,5,180,167,94,86,25,67,3,178,9,1,8,769,100,4.29,1.302,8.4,1.3,3.4,8.9,2.65
121,Dylan Bundy,28,LAA,AL,2,9,0.182,6.06,23,19,1,0,0,0,90.2,89,64,61,20,34,0,84,6,0,1,397,73,5.51,1.357,8.8,2,3.4,8.3,2.47
122,Paolo Espino,34,WSN,NL,5,5,0.5,4.27,35,19,11,0,0,1,109.2,108,53,52,19,25,2,92,1,0,1,455,94,4.46,1.213,8.9,1.6,2.1,7.6,3.68
123,Joe Ross,28,WSN,NL,5,9,0.357,4.17,20,19,0,0,0,0,108,98,57,50,17,34,4,109,8,0,0,460,96,4.36,1.222,8.2,1.4,2.8,9.1,3.21
